displayTitle,embeddingText,url,imageUrl,productType,discount,price,variants,createDate
"2pcs Envelope Type Pillowcase Solid Polyester Rectangle Bedroom Pillow Cover Home Office Pillow Protector Case","2pcs Envelope Type Pillowcase Solid Polyester Rectangle Bedroom Pillow Cover Home Office Pillow Protector Case Home Home ",https://wizybot-demo-store.myshopify.com/products/2pcs-envelope-type-pillowcase-solid-polyester-rectangle-bedroom-pillow-cover-home-office-pillow-protector-case,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at4.16.03PM.png?v=1687555031,Home,0,"45.0 USD",,"2024-04-30 16:18:55.695190"
"Wonder Nation Baby Boys Fisherman Sandals","Wonder Nation Baby Boys Fisherman Sandals Clothing fashion Size (6, 7, 8) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/wonder-nation-baby-boys-fisherman-sandals,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at11.45.23AM.png?v=1687625224,Clothing,1,"15.0 USD","Size (6, 7, 8)","2024-04-30 16:18:57.743555"
"Lenovo Ideapad Gaming Chromebook","Lenovo Ideapad Gaming Chromebook Technology technology Color (Black, Gray) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/lenovo-ideapad-gaming-chromebook,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-21at5.03.49PM.png?v=1687385088,Technology,1,"300.0 USD","Color (Black, Gray)","2024-04-30 16:18:52.456371"
"iPhone 12","iPhone 12 Technology technology, celulares Color (Black, Blue, Red, Green, White), Capacity (64gb, 128gb),  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/iphone-12,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-21at4.49.19PM.png?v=1687384318,Technology,1,"900.0 USD","Color (Black, Blue, Red, Green, White), Capacity (64gb, 128gb), ","2024-04-30 16:18:52.431429"
"VAVSEA 8" Professional Chef's Knife","VAVSEA 8" Professional Chef's Knife Home Home  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/vavsea-8-professional-chefs-knife,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at1.34.33PM.png?v=1687631757,Home,1,"20.0 USD",,"2024-04-30 16:18:57.894768"
"Zenithen Butterfly Folding Chair","Zenithen Butterfly Folding Chair Home Home Color (White, Blue, Black) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/zenithen-butterfly-folding-chair,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at1.30.27PM.png?v=1687545113,Home,1,"54.0 USD","Color (White, Blue, Black)","2024-04-30 16:18:55.666705"
"Laundry Sanitizer","Laundry Sanitizer Home Home  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/laundry-sanitizer,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at12.13.19PM.png?v=1687626871,Home,1,"9.0 USD",,"2024-04-30 16:18:57.792520"
"Men's Comfy Memory Foam Slide Slippers","Men's Comfy Memory Foam Slide Slippers Clothing fashion Color (Black, Gray), Size (6, 7, 8, 9, 10),  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/mens-comfy-memory-foam-slide-slippers,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at1.12.35PM.png?v=1687544013,Clothing,1,"23.0 USD","Color (Black, Gray), Size (6, 7, 8, 9, 10), ","2024-04-30 16:18:55.622238"
"MSI Katana GF66 Gaming Laptop","MSI Katana GF66 Gaming Laptop Technology technology  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/msi-katana-gf66-gaming-laptop,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-21at5.07.25PM.png?v=1687385306,Technology,1,"1500.0 USD",,"2024-04-30 16:18:52.468501"
"Costway Refrigerator Small Freezer","Costway Refrigerator Small Freezer Home Home Color (Black, Gray) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/costway-refrigerator-small-freezer,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at11.26.14AM.png?v=1687624118,Home,1,"400.0 USD","Color (Black, Gray)","2024-04-30 16:18:55.730118"
"Maybelline Total Temptation Waterproof Mascara","Maybelline Total Temptation Waterproof Mascara Clothing Home ",https://wizybot-demo-store.myshopify.com/products/maybelline-total-temptation-waterproof-mascara,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at12.18.28PM.png?v=1687627233,Clothing,0,"7.0 USD",,"2024-04-30 16:18:57.812160"
"Oster Stainless Steel Knife Set with Cutting Board (4 Pieces)","Oster Stainless Steel Knife Set with Cutting Board (4 Pieces) Home Home  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/oster-stainless-steel-knife-set-with-cutting-board-4-pieces,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at1.51.10PM.png?v=1687632706,Home,1,"20.0 USD",,"2024-04-30 16:18:57.908354"
"Women's Athletic Ankle Socks","Women's Athletic Ankle Socks Clothing fashion  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/womens-athletic-ankle-socks,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at11.51.53AM.png?v=1687625719,Clothing,1,"6.0 USD",,"2024-04-30 16:18:57.762802"
"Wonder Nation Girls Cushioned Ankle Socks","Wonder Nation Girls Cushioned Ankle Socks Clothing fashion  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/wonder-nation-girls-cushioned-ankle-socks-1,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at11.49.28AM.png?v=1687625485,Clothing,1,"7.0 USD",,"2024-04-30 16:18:57.756485"
"JBL GO 2 Bluetooth Portable Waterproof Speaker","JBL GO 2 Bluetooth Portable Waterproof Speaker Technology technology Color (Green, Black, Red, Blue, Yellow)",https://wizybot-demo-store.myshopify.com/products/jbl-go-2-bluetooth-portable-waterproof-speaker,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at9.55.00AM.png?v=1687532181,Technology,0,"50.0 USD","Color (Green, Black, Red, Blue, Yellow)","2024-04-30 16:18:52.523083"
"The Pioneer Woman Folk Geo Ceramic Top Plant Stand","The Pioneer Woman Folk Geo Ceramic Top Plant Stand Home Home  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/the-pioneer-woman-folk-geo-ceramic-top-plant-stand,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at11.29.40AM.png?v=1687624247,Home,1,"24.0 USD",,"2024-04-30 16:18:55.736291"
"Racerback Tank Tops for women Halter Casual Cami Sleeveless Summer Tops","Racerback Tank Tops for women Halter Casual Cami Sleeveless Summer Tops Clothing fashion Color (Black, Red, White, Brown) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/racerback-tank-tops-for-women-halter-casual-cami-sleeveless-summer-tops,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at1.52.54PM.png?v=1687632842,Clothing,1,"5.0 USD","Color (Black, Red, White, Brown)","2024-04-30 16:18:57.914631"
"Oster Stainless Steel Knife Set with Cutting Board","Oster Stainless Steel Knife Set with Cutting Board Home Home  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/oster-stainless-steel-knife-set-with-cutting-board,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at1.37.32PM.png?v=1687631962,Home,1,"28.0 USD",,"2024-04-30 16:18:57.901428"
"Canon EOS Rebel T100 Digital SLR Camera with 18-55mm Lens Kit","Canon EOS Rebel T100 Digital SLR Camera with 18-55mm Lens Kit Technology technology ",https://wizybot-demo-store.myshopify.com/products/canon-eos-rebel-t100-digital-slr-camera-with-18-55mm-lens-kit,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at10.02.31AM.png?v=1687532600,Technology,0,"329.0 USD",,"2024-04-30 16:18:52.549909"
"Play Day Inflatable Shark Shade Pool, Round, Blue, Ages 1-3, Unisex","Play Day Inflatable Shark Shade Pool, Round, Blue, Ages 1-3, Unisex Home Home  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/play-day-inflatable-shark-shade-pool-round-blue-ages-1-3-unisex,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at12.58.37PM.png?v=1687629556,Home,1,"30.0 USD",,"2024-04-30 16:18:57.863920"
"iPhone 13","iPhone 13 Technology technology, celulares Color (Black, Blue), Capacity (256gb, 128gb),  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/iphone-13,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-21at5.00.26PM.png?v=1687384930,Technology,1,"1099.0 USD","Color (Black, Blue), Capacity (256gb, 128gb), ","2024-04-30 16:18:52.449845"
"DHP Value 6 Inch Thermobonded Polyester Filled Quilted Top Bunk Bed Mattress","DHP Value 6 Inch Thermobonded Polyester Filled Quilted Top Bunk Bed Mattress Home Home  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/dhp-value-6-inch-thermobonded-polyester-filled-quilted-top-bunk-bed-mattress,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at1.24.41PM.png?v=1687544758,Home,1,"67.0 USD",,"2024-04-30 16:18:55.648899"
"NELEUS Womens 4" High Waist Athletic Running Shorts","NELEUS Womens 4" High Waist Athletic Running Shorts Clothing fashion Size (S, M, L), Color (Black, Purple, Pink, Gray, Dark Gray),  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/neleus-womens-4-high-waist-athletic-running-shorts,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at11.52.21AM.png?v=1687539353,Clothing,1,"27.0 USD","Size (S, M, L), Color (Black, Purple, Pink, Gray, Dark Gray), ","2024-04-30 16:18:55.562584"
"LG 86" Class 4K UHD 2160P webOS Smart TV","LG 86" Class 4K UHD 2160P webOS Smart TV Technology technology  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/lg-86-class-4k-uhd-2160p-webos-smart-tv,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at9.44.19AM.png?v=1687531517,Technology,1,"1699.0 USD",,"2024-04-30 16:18:52.498961"
"Eytino One Piece Bathing Suit for Women","Eytino One Piece Bathing Suit for Women Clothing fashion Size (S, M, L), Color (Black & Blue, Black & Black, Black & Red), ",https://wizybot-demo-store.myshopify.com/products/eytino-one-piece-bathing-suit-for-women,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at11.36.49AM.png?v=1687538471,Clothing,0,"17.0 USD","Size (S, M, L), Color (Black & Blue, Black & Black, Black & Red), ","2024-04-30 16:18:52.632045"
"Apple AirPods Pro (2nd Generation)","Apple AirPods Pro (2nd Generation) Technology technology, reloj ",https://wizybot-demo-store.myshopify.com/products/apple-airpods-pro-2nd-generation,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at9.58.35AM.png?v=1687532381,Technology,0,"169.0 USD",,"2024-04-30 16:18:52.535130"
"Women's Plus Size Ruffled V-Neck Top","Women's Plus Size Ruffled V-Neck Top  fashion Size (1X, 2X, 3X), Color (Pink, Purple, Green, Light Blue, Dark Blue), ",https://wizybot-demo-store.myshopify.com/products/womens-plus-size-ruffled-v-neck-top,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at10.29.05AM.png?v=1687534427,,0,"17.0 USD","Size (1X, 2X, 3X), Color (Pink, Purple, Green, Light Blue, Dark Blue), ","2024-04-30 16:18:52.612237"
"Gerber Baby Boy or Girl Unisex Waffle Romper","Gerber Baby Boy or Girl Unisex Waffle Romper Clothing fashion Size (3-6 months, 6-12 months) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/gerber-baby-boy-or-girl-unisex-waffle-romper,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at1.18.48PM.png?v=1687544408,Clothing,1,"34.0 USD","Size (3-6 months, 6-12 months)","2024-04-30 16:18:55.642497"
"Womens Having A Weird Mom Builds Character Tshirt","Womens Having A Weird Mom Builds Character Tshirt Clothing fashion Size (M, L) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/womens-having-a-weird-mom-builds-character-tshirt,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at11.59.00AM.png?v=1687539612,Clothing,1,"12.0 USD","Size (M, L)","2024-04-30 16:18:55.578952"
"TOPVISION Sound Bar for TV","TOPVISION Sound Bar for TV Technology technology Color (Black, Dark Gray, White) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/topvision-sound-bar-for-tv,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at9.46.22AM.png?v=1687531682,Technology,1,"37.99 USD","Color (Black, Dark Gray, White)","2024-04-30 16:18:52.505248"
"Clorox Laundry Sanitizer","Clorox Laundry Sanitizer Home Home  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/clorox-laundry-sanitizer,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at12.14.52PM.png?v=1687626961,Home,1,"10.0 USD",,"2024-04-30 16:18:57.798796"
"Women's Short Sleeve Slub Crew T-Shirt","Women's Short Sleeve Slub Crew T-Shirt Clothing fashion Size (XS, S, M), Color (Blue, Green, Gray),  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/womens-short-sleeve-slub-crew-t-shirt,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at10.23.11AM.png?v=1687533915,Clothing,1,"9.0 USD","Size (XS, S, M), Color (Blue, Green, Gray), ","2024-04-30 16:18:52.604690"
"Family Inflatable Swimming Pool","Family Inflatable Swimming Pool Home Home  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/family-inflatable-swimming-pool,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at12.45.49PM.png?v=1687629430,Home,1,"45.0 USD",,"2024-04-30 16:18:57.839905"
"Bushel Lamper Plastic Laundry Basket","Bushel Lamper Plastic Laundry Basket Home Home Color (Black, White, Blue) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/bushel-lamper-plastic-laundry-basket,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at11.58.56AM.png?v=1687626239,Home,1,"5.0 USD","Color (Black, White, Blue)","2024-04-30 16:18:57.770018"
"Women's Long Sleeve High Leg Rash Guard One Piece Swimsuit","Women's Long Sleeve High Leg Rash Guard One Piece Swimsuit Clothing fashion Size (Xs, S, M, L)",https://wizybot-demo-store.myshopify.com/products/womens-long-sleeve-high-leg-rash-guard-one-piece-swimsuit,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at11.34.07AM.png?v=1687538109,Clothing,0,"25.0 USD","Size (Xs, S, M, L)","2024-04-30 16:18:52.626091"
"Sunbee 3 Piece Luggage Sets Hardshell Lightweight Suitcase","Sunbee 3 Piece Luggage Sets Hardshell Lightweight Suitcase Home Home Color (Blue, White, Black) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/sunbee-3-piece-luggage-sets-hardshell-lightweight-suitcase,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at11.13.07AM.png?v=1687623532,Home,1,"109.0 USD","Color (Blue, White, Black)","2024-04-30 16:18:55.702467"
"Beats Studio3 Wireless Noise Cancelling Headphones with Apple W1 Headphone Chip","Beats Studio3 Wireless Noise Cancelling Headphones with Apple W1 Headphone Chip Technology technology Color (Black, Gold, White) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/beats-studio3-wireless-noise-cancelling-headphones-with-apple-w1-headphone-chip,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at9.56.40AM.png?v=1687532290,Technology,1,"169.0 USD","Color (Black, Gold, White)","2024-04-30 16:18:52.529184"
"Dining Chairs Set of 2, Mid-High Back Ergonomic Accent Chairs","Dining Chairs Set of 2, Mid-High Back Ergonomic Accent Chairs Home Home Color (Yellow, Black) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/dining-chairs-set-of-2-mid-high-back-ergonomic-accent-chairs,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at2.09.53PM.png?v=1687633857,Home,1,"20.0 USD","Color (Yellow, Black)","2024-04-30 16:18:57.973102"
"Carote Nonstick Cookware Sets with Detachable Handle","Carote Nonstick Cookware Sets with Detachable Handle Home Home ",https://wizybot-demo-store.myshopify.com/products/carote-nonstick-cookware-sets-with-detachable-handle,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at1.25.40PM.png?v=1687631644,Home,0,"0.0 USD",,"2024-04-30 16:18:57.883697"
"Galanz 4.6. Cu ft Two Door Mini Refrigerator with Freezer, Stainless Steel","Galanz 4.6. Cu ft Two Door Mini Refrigerator with Freezer, Stainless Steel Home Home ",https://wizybot-demo-store.myshopify.com/products/galanz-4-6-cu-ft-two-door-mini-refrigerator-with-freezer-stainless-steel,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at4.05.29PM.png?v=1687554381,Home,0,"700.0 USD",,"2024-04-30 16:18:55.689022"
"Women's Low Chunky Lug Fashion Sneakers","Women's Low Chunky Lug Fashion Sneakers Clothing fashion Size (34, 35, 36, 37) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/womens-low-chunky-lug-fashion-sneakers,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at1.01.28PM.png?v=1687543356,Clothing,1,"12.0 USD","Size (34, 35, 36, 37)","2024-04-30 16:18:55.585546"
"Summer Tank Tops for Women V-neck Sleeveless Shirts Pleated Front Tops","Summer Tank Tops for Women V-neck Sleeveless Shirts Pleated Front Tops Clothing fashion Size (S, M, L), Color (Red, Black),  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/summer-tank-tops-for-women-v-neck-sleeveless-shirts-pleated-front-tops,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at1.54.09PM.png?v=1687632930,Clothing,1,"11.0 USD","Size (S, M, L), Color (Red, Black), ","2024-04-30 16:18:57.925326"
"Smurfette Sassy Classy Smurf Rainbow Women's Graphic T Shirt Tees Brisco","Smurfette Sassy Classy Smurf Rainbow Women's Graphic T Shirt Tees Brisco Clothing fashion Size (Small, Medium, Large, Extra Large, Extra small)",https://wizybot-demo-store.myshopify.com/products/smurfette-sassy-classy-smurf-rainbow-womens-graphic-t-shirt-tees-brisco,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at11.57.03AM.png?v=1687539519,Clothing,0,"15.0 USD","Size (Small, Medium, Large, Extra Large, Extra small)","2024-04-30 16:18:55.572609"
"Positano Mid Modern Sofa, Smoke Grey","Positano Mid Modern Sofa, Smoke Grey Home home Color (Smoke grey, Oatmeal) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/positano-mid-modern-sofa-smoke-grey,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at1.26.54PM.png?v=1687544999,Home,1,"600.0 USD","Color (Smoke grey, Oatmeal)","2024-04-30 16:18:55.659263"
"Maybelline Unstoppable Waterproof Eyeliner","Maybelline Unstoppable Waterproof Eyeliner Clothing fashion  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/maybelline-unstoppable-waterproof-eyeliner,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at12.31.41PM.png?v=1687628123,Clothing,1,"11.0 USD",,"2024-04-30 16:18:57.827492"
"Wireless Earbuds Bluetooth5.2 Headphones","Wireless Earbuds Bluetooth5.2 Headphones Technology technology  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/wireless-earbuds-bluetooth5-2-headphones,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at11.33.26AM.png?v=1687624588,Technology,1,"50.0 USD",,"2024-04-30 16:18:55.749641"
"iPhone SE","iPhone SE Technology technology Color (Black, Blue), Capacity (64gb, 256gb),  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/iphone-se,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-21at4.57.34PM.png?v=1687384788,Technology,1,"180.0 USD","Color (Black, Blue), Capacity (64gb, 256gb), ","2024-04-30 16:18:52.443035"
"Gain + Aroma Boost Liquid Laundry Detergent","Gain + Aroma Boost Liquid Laundry Detergent Home Home  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/gain-aroma-boost-liquid-laundry-detergent,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at12.04.29PM.png?v=1687626462,Home,1,"7.0 USD",,"2024-04-30 16:18:57.776352"
"Piece Luggage Sets ABS Hardshell","Piece Luggage Sets ABS Hardshell Home Home Color (Orage, Black) In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/piece-luggage-sets-abs-hardshell,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at11.24.23AM.png?v=1687623948,Home,1,"150.0 USD","Color (Orage, Black)","2024-04-30 16:18:55.724045"
"Maybelline Eyeshadow Palette, The Nudes, 12 Shade Palette","Maybelline Eyeshadow Palette, The Nudes, 12 Shade Palette Clothing fashion  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/maybelline-eyeshadow-palette-the-nudes-12-shade-palette,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at12.37.00PM.png?v=1687628701,Clothing,1,"15.0 USD",,"2024-04-30 16:18:57.833766"
"Summer Tank Tops for Women V-neck Sleeveless Shirts Pleated Front Tops","Summer Tank Tops for Women V-neck Sleeveless Shirts Pleated Front Tops Clothing fashion Size (S, M, L), Color (Blue, White),  In Sale/Discount",https://wizybot-demo-store.myshopify.com/products/summer-tank-tops-for-women-v-neck-sleeveless-shirts-pleated-front-tops-1,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-24at2.02.37PM.png?v=1687633428,Clothing,1,"5.0 USD","Size (S, M, L), Color (Blue, White), ","2024-04-30 16:18:57.946109"
"Apple Watch Series 8 GPS","Apple Watch Series 8 GPS Technology technology, reloj Size (44mm, 40mm, 36mm), Color (White, Spacial Gray, Rose Gold, Red), ",https://wizybot-demo-store.myshopify.com/products/apple-watch-series-8-gps,https://cdn.shopify.com/s/files/1/0779/8125/3922/files/ScreenShot2023-06-23at10.06.05AM.png?v=1687532827,Technology,0,"350.0 - 365.0 USD","Size (44mm, 40mm, 36mm), Color (White, Spacial Gray, Rose Gold, Red), ","2024-04-30 16:18:52.565675"
